,cluster.num,node.weight,n.individuals,node.type,West,Central,East,Northwest,n.West,n.Central,n.East,n.Northwest,long,lat,node.comp,single.reg,label.prop.comm,info.map.comm,walktrap.comm,betweenness,betweenness.unweighted,betweenness.TO,eigen,degree,in.degree,out.degree,time.spent,time.spent.ab,bridge.strength,bridge.betweenness,bridge.indegree,participation.coef,cluster
1,1,0.016333651,3,Breeding,0.016333651,0,0,0,3,0,0,0,-129.8574554,58.16343635,3,West,1,1,1,0,Inf,0,0.003833214,2,0,2,0,0,0,0,0,0,16
2,2,0.292003111,7,Breeding,0,0.292003111,0,0,0,7,0,0,-93.8313,58.71955,3,Central,1,1,1,0,Inf,0,0.293672738,3,0,3,0,0,0.04171473,0,0,0.244897959,17
3,3,0.041708283,6,Breeding,0,0,0,0.041708283,0,0,0,6,-149.416795,63.722625,3,Northwest,1,1,1,0,Inf,0,0.013883424,4,0,4,0,0,0,0,0,0,18
4,4,0.086251669,3,Breeding,0,0,0.086251669,0,0,0,3,0,-72.815699,44.528354,3,East,1,1,2,0,Inf,0,0.148322774,2,0,2,0,0,0,0,0,0,19
5,5,0.057501113,2,Breeding,0,0,0.057501113,0,0,0,2,0,-56.225,49.45833,3,East,1,1,2,0,Inf,0,0.031521283,1,0,1,0,0,0,0,0,0,20
6,6,0.034756903,5,Breeding,0,0,0,0.034756903,0,0,0,5,-163.71321,64.82774,3,Northwest,1,1,1,0,Inf,0,0.016060383,3,0,3,0,0,0.006951381,0,0,0.32,21
7,7,0.04171473,1,Breeding,0,0.04171473,0,0,0,1,0,0,-114.420252,62.432741,3,Central,1,1,1,0,Inf,0,0.022236263,1,0,1,0,0,0,0,0,0,22
8,8,0.057501113,2,Breeding,0,0,0.057501113,0,0,0,2,0,-65.8820445,43.4367935,3,East,1,1,2,0,Inf,0,0.056618243,2,0,2,0,0,0,0,0,0,23
9,9,0.345006676,12,Breeding,0,0,0.345006676,0,0,0,12,0,-71.08716,47.38339,3,East,1,1,2,0,Inf,0,0.568801966,3,0,3,0,0,0,0,0,0,24
10,10,0.027222752,5,Breeding,0.027222752,0,0,0,5,0,0,0,-132.311396,60.066092,3,West,1,1,1,0,Inf,0,0.011382031,3,0,3,0,0,0,0,0,0,25
11,11,0.027805522,4,Stopover,0,0,0,0.027805522,0,0,0,4,-143.7446898,64.80250722,3,Northwest,1,1,1,1,0.090909091,1,0.014137953,5,2,3,3.915017361,0.015095606,0,0,0,0,1
12,12,0.172297024,10,Stopover,0.00544455,0.12514419,0,0.041708283,1,3,0,6,-93.2950057,55.64271448,1,NA,1,1,1,16,Inf,18,0.252945381,8,5,3,3.677689247,0.083312893,0.019347311,7,0,0.105985883,2
13,13,0.432338019,19,Stopover,0.027222752,0.292003111,0.057501113,0.055611045,5,6,2,6,-78.05947993,35.3,0,NA,1,1,1,83,0.03030303,59.5,0.729425696,15,7,8,17.38062092,0.967631287,0.430283921,57,0.113118604,0.499988713,3
14,14,0.048076893,8,Stopover,0.027222752,0,0,0.020854142,5,0,0,3,-123.0719702,56.34576022,2,NA,1,1,1,38,0.043478261,7,0.047934446,8,4,4,4.295343419,0.027609775,0.006951381,21,0,0.134135844,4
15,15,0.503400939,20,Stopover,0.00544455,0.12514419,0.345006676,0.027805522,1,3,12,4,-72.51734676,41.45,0,NA,1,1,2,66,0.017391304,60,1,15,9,6,14.64626956,1,0.313227597,46,0.158394263,0.428642235,5
16,16,0.188630675,13,Stopover,0.021778201,0.12514419,0,0.041708283,4,3,0,6,-81.62913261,47.65050493,1,NA,1,1,1,24,0.039215686,30.5,0.298866862,13,7,6,8.811479704,0.157695858,0.054110661,11,0,0.245715918,6
17,17,0.172503338,6,Stopover,0,0,0.172503338,0,0,0,6,0,-63.95632739,44.77,3,East,1,1,2,21,0.066666667,25,0.307349862,7,3,4,18.64754073,0.446071902,0.057501113,13,0,0.277777778,7
18,18,0.064999762,5,Stopover,0.016333651,0.04171473,0,0.006951381,3,1,0,1,-80.5841656,26.34393961,1,NA,1,1,1,0,0.071428571,3,0.082165779,6,2,4,10.30741592,0.090326449,0.059555211,0,0,0.496491912,13
19,19,0.429374724,16,Stopover,0,0.04171473,0.373757233,0.013902761,0,1,13,2,-72.25622724,18.9,1,NA,1,1,2,28,0.333333333,22,0.892457445,10,6,4,8.007665343,0.514847034,0.084368048,9,0.042653317,0.177186229,14
20,20,0.091696219,4,Stopover,0.00544455,0,0.086251669,0,1,0,3,0,-66.49437899,18.22586191,2,NA,1,1,2,0,0.041666667,0,0.104118094,7,3,4,6.252039931,0.070617836,0.00544455,0,0,0.0576132,15
21,21,0.371475845,19,Nonbreeding,0.016333651,0.08342946,0.230004451,0.041708283,3,2,8,6,-70.65045377,9.382821622,0,NA,1,1,2,26,Inf,22,0.553720366,8,5,3,5.046519804,0.241847769,0.249124474,15,0.16327057,0.499589457,8
22,22,0.096174761,12,Nonbreeding,0.032667302,0,0.028750556,0.034756903,6,0,1,5,-61.99818396,4.970188676,1,NA,1,1,1,2,0.086956522,2,0.083326802,7,6,1,1.996628333,0.055007956,0.105578006,2,0.07682745,0.261771976,9
23,23,0.24125548,12,Nonbreeding,0.010889101,0.16685892,0.028750556,0.034756903,2,4,1,5,-64.73415806,0.889333015,0,NA,1,1,1,3,0.333333333,1,0.285338374,9,8,1,1.24730512,0.031902334,0.187144819,2,0.187144819,0.386899289,10
24,24,0.301578802,15,Nonbreeding,0.010889101,0.08342946,0.172503338,0.034756903,2,2,6,5,-67.98370161,4.875228232,0,NA,1,1,2,7,0.068965517,5,0.324872944,11,8,3,2.132079942,0.061649907,0.102208529,3,0.075909837,0.408918318,11
25,25,0.238071343,9,Nonbreeding,0.010889101,0.08342946,0.143752782,0,2,2,5,0,-71.36577611,2.531320307,1,NA,1,1,2,0,0.333333333,0,0.275354469,7,5,2,1.941399177,0.013191834,0.099763111,0,0.094318561,0.480286456,12
