"","cluster.num","node.weight","n.individuals","node.type","West","Central","East","Northwest","n.West","n.Central","n.East","n.Northwest","long","lat","node.comp","single.reg","label.prop.comm","info.map.comm","walktrap.comm","betweenness","betweenness.unweighted","betweenness.TO","eigen","degree","in.degree","out.degree","time.spent","time.spent.ab","bridge.strength","bridge.betweenness","bridge.indegree","participation.coef","cluster"
"1",1,0.027805522265746,4,"Stopover",0,0,0,0.027805522265746,0,0,0,4,-143.744689799494,64.8025072163882,3,"Northwest",1,1,1,1,0.0909090909090909,1,0.0141379528585715,5,2,3,3.91501736111111,0.0150956058976721,0,0,0,0,1
"2",2,0.172297023951892,10,"Stopover",0.00544455030177777,0.125144190251495,0,0.041708283398619,1,3,0,6,-93.2950057034363,55.642714482423,1,NA,1,1,1,16,Inf,11,0.252945381451806,8,5,3,3.67768924674778,0.0833128927772367,0.0193473114346508,7,0,0.105985882991158,2
"3",3,0.432338019330816,19,"Stopover",0.0272227515088889,0.292003110586822,0.0575011127036129,0.055611044531492,5,6,2,6,-78.05947992889,35.3,0,NA,1,1,1,83,0.0303030303030303,45.5,0.729425696254504,15,7,8,17.3806209237211,0.967631287343123,0.430283920780605,57,0.113118603920318,0.499988713333328,3
"4",4,0.0480768932081984,8,"Stopover",0.0272227515088889,0,0,0.0208541416993095,5,0,0,3,-123.071970192879,56.3457602188697,2,NA,1,1,1,38,0.0434782608695652,2,0.047934446224254,8,4,4,4.29534341890813,0.0276097752746271,0.0069513805664365,21,0,0.134135844256557,4
"5",5,0.503400939040696,20,"Stopover",0.00544455030177777,0.125144190251495,0.345006676221678,0.027805522265746,1,3,12,4,-72.5173467608432,41.45,0,NA,1,1,2,66,0.0173913043478261,50,1,15,9,6,14.6462695623215,1,0.313227596823169,46,0.158394262819019,0.428642234862803,5
"6",6,0.188630674857225,13,"Stopover",0.0217782012071111,0.125144190251495,0,0.041708283398619,4,3,0,6,-81.6291326134426,47.6505049307778,1,NA,1,1,1,24,0.0392156862745098,34.5,0.298866861793361,13,7,6,8.81147970379651,0.157695858169279,0.054110660952046,11,0,0.245715918066534,6
"7",7,0.172503338110839,6,"Stopover",0,0,0.172503338110839,0,0,0,6,0,-63.9563273907675,44.77,3,"East",1,1,2,21,0.0666666666666667,11,0.307349861790329,7,3,4,18.6475407298047,0.446071902076348,0.057501112703613,13,0,0.277777777777778,7
"8",8,0.371475845286067,19,"Nonbreeding",0.0163336509053333,0.0834294601676634,0.230004450814452,0.041708283398619,3,2,8,6,-70.6504537683395,9.38282162195162,0,NA,1,1,2,26,Inf,7,0.55372036615308,8,5,3,5.04651980412053,0.241847768728204,0.249124473511896,15,0.163270570256985,0.499589457242278,8
"9",9,0.0961747609946556,12,"Nonbreeding",0.0326673018106666,0,0.0287505563518065,0.0347569028321825,6,0,1,5,-61.9981839554292,4.97018867590377,1,NA,1,1,1,2,0.0869565217391304,2,0.0833268022673248,7,6,1,1.99662833314067,0.0550079555542037,0.105578005911811,2,0.0768274495600048,0.261771975581257,9
"10",10,0.241255480122871,12,"Nonbreeding",0.0108891006035555,0.166858920335327,0.0287505563518065,0.0347569028321825,2,4,1,5,-64.7341580630623,0.889333014767012,0,NA,1,1,1,3,0.333333333333333,1,0.285338373731935,9,8,1,1.24730512035114,0.0319023335642147,0.187144819170825,2,0.187144819170825,0.386899289425722,10
"11",11,0.30157880171424,15,"Nonbreeding",0.0108891006035555,0.0834294601676634,0.172503338110839,0.0347569028321825,2,2,6,5,-67.9837016072534,4.87522823210674,0,NA,1,1,2,7,0.0689655172413793,4,0.324872943593674,11,8,3,2.13207994235261,0.061649906514128,0.102208528738503,3,0.075909836737416,0.40891831792158,11
"12",12,0.238071342530251,9,"Nonbreeding",0.0108891006035555,0.0834294601676634,0.143752781759032,0,2,2,5,0,-71.3657761063611,2.53132030748795,1,NA,1,1,2,0,0.333333333333333,0,0.275354468976848,7,5,2,1.94139917695473,0.0131918336228998,0.0997631110729967,0,0.0943185607712189,0.480286456430059,12
"13",13,0.0649997615556015,5,"Stopover",0.0163336509053333,0.0417147300838317,0,0.0069513805664365,3,1,0,1,-80.584165604978,26.3439396089436,1,NA,1,1,1,0,0.0714285714285714,4,0.0821657792971433,6,2,4,10.307415924521,0.0903264494277171,0.0595552112538237,0,0,0.496491911778222,13
"14",14,0.429374723790189,16,"Stopover",0,0.0417147300838317,0.373757232573484,0.013902761132873,0,1,13,2,-72.2562272442294,18.9,1,NA,1,1,2,28,0.333333333333333,17,0.892457444623347,10,6,4,8.00766534324787,0.514847033558462,0.0843680475685112,9,0.0426533174846795,0.177186229360744,14
"15",15,0.0916962193571972,4,"Stopover",0.00544455030177777,0,0.0862516690554194,0,1,0,3,0,-66.4943789857244,18.2258619128425,2,NA,1,1,2,0,0.0416666666666667,4,0.104118094495356,7,3,4,6.25203993055556,0.070617836140491,0.00544455030177777,0,0,0.0576131999840015,15
"16",16,0.0163336509053333,3,"Breeding",0.0163336509053333,0,0,0,3,0,0,0,-129.8574554,58.16343635,3,"West",1,1,1,0,Inf,0,0.00383321420609934,2,0,2,0,0,0,0,0,0,16
"17",17,0.292003110586822,7,"Breeding",0,0.292003110586822,0,0,0,7,0,0,-93.8313,58.71955,3,"Central",1,1,1,0,Inf,0,0.293672737871038,3,0,3,0,0,0.0417147300838317,0,0,0.244897959183674,17
"18",18,0.041708283398619,6,"Breeding",0,0,0,0.041708283398619,0,0,0,6,-149.416795,63.722625,3,"Northwest",1,1,1,0,Inf,0,0.0138834243672119,4,0,4,0,0,0,0,0,0,18
"19",19,0.0862516690554194,3,"Breeding",0,0,0.0862516690554194,0,0,0,3,0,-72.815699,44.528354,3,"East",1,1,2,0,Inf,0,0.148322774291372,2,0,2,0,0,0,0,0,0,19
"20",20,0.0575011127036129,2,"Breeding",0,0,0.0575011127036129,0,0,0,2,0,-56.225,49.45833,3,"East",1,1,2,0,Inf,0,0.0315212825437075,1,0,1,0,0,0,0,0,0,20
"21",21,0.0347569028321825,5,"Breeding",0,0,0,0.0347569028321825,0,0,0,5,-163.71321,64.82774,3,"Northwest",1,1,1,0,Inf,0,0.0160603831386808,3,0,3,0,0,0.0069513805664365,0,0,0.32,21
"22",22,0.0417147300838317,1,"Breeding",0,0.0417147300838317,0,0,0,1,0,0,-114.420252,62.432741,3,"Central",1,1,1,0,Inf,0,0.0222362634102666,1,0,1,0,0,0,0,0,0,22
"23",23,0.0575011127036129,2,"Breeding",0,0,0.0575011127036129,0,0,0,2,0,-65.8820445,43.4367935,3,"East",1,1,2,0,Inf,0,0.0566182431569637,2,0,2,0,0,0,0,0,0,23
"24",24,0.345006676221678,12,"Breeding",0,0,0.345006676221678,0,0,0,12,0,-71.08716,47.38339,3,"East",1,1,2,0,Inf,0,0.568801965991394,3,0,3,0,0,0,0,0,0,24
"25",25,0.0272227515088889,5,"Breeding",0.0272227515088889,0,0,0,5,0,0,0,-132.311396,60.066092,3,"West",1,1,1,0,Inf,0,0.0113820311282653,3,0,3,0,0,0,0,0,0,25
