"","geo_id","dist","StartTime","EndTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","sitenum","duration","period","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.arrival","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","Breeding_region_MC","site_type","IQR.lon.dist","IQR.lat.dist","fall.br.departure","spring.br.arrival","NB_count","year.difference","move.start","move.end","start.lon","start.lat","end.lon","end.lat","equinox.nbr.move","timing.nbr.move"
"1","4105_016",277479.635205034,"2017-03-31 22:41:08","2017-04-28 10:11:11",-66.4891423991745,-67.0241406680181,-65.9595521607696,1.13190394889791,-1.88570246999255,4.51289806694831,9,27.4792013888889,"Non-breeding period","","2740-81731",NA,"Setophaga","2016-06-22","","2017-06-22",NA,"2016-06-22","2017-06-22","","SY","Adult",71,13,"Male","striata","harness",58.71955,-93.83599,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.9037859080173,92,0.118,1000,20,3,1,0.8,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-22","2017-05-22",2017,2017-03-20,"No","2016-07-10","2016-08-20","2017-06-15","2017-06-20",2,"2016-09-11","2017-06-10","2016-09-09","2017-06-10","2016-10-31","2017-04-28",NA,"","","","","","Central Region","Nonbreeding",118486.324812468,712288.953561823,"2016-09-10 01:04:58","2017-06-10 03:42:46",2,0,"2017-03-30 10:19:53","2017-03-31 22:41:08",-66.7379503780343,3.61212053969112,-66.4891423991745,1.13190394889791,"equinox affected","winter.nbr.movements"
"2","4105_016",881671.354690679,"2017-04-29 22:33:21","2017-05-22 22:40:14",-65.8283732640961,-66.4442790446489,-65.231674250467,9.02474204269095,7.62147403547374,10.2455007551343,10,23.0047800925926,"Non-breeding period","","2740-81731",NA,"Setophaga","2016-06-22","","2017-06-22",NA,"2016-06-22","2017-06-22","","SY","Adult",71,13,"Male","striata","harness",58.71955,-93.83599,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.9037859080173,92,0.118,1000,20,3,1,0.8,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-22","2017-05-22",2017,2017-03-20,"No","2016-07-10","2016-08-20","2017-06-15","2017-06-20",2,"2016-09-11","2017-06-10","2016-09-09","2017-06-10","2016-10-31","2017-04-28",NA,"","","","","","Central Region","Nonbreeding",133315.447401176,292105.318260554,"2016-09-10 01:04:58","2017-06-10 03:42:46",3,0,"2017-04-28 10:11:11","2017-04-29 22:33:21",-66.4891423991745,1.13190394889791,-65.8283732640961,9.02474204269095,"equinox free","winter.nbr.movements"
"3","A",695553.916421042,"2014-03-08 22:58:02.638018","2014-04-08 10:23:21.701183",-70.1486877549727,-70.7361128317154,-69.4755772717758,4.49583202234103,0.299363740577774,9.79299899198029,10,30.4759150829194,"Non-breeding period","","2110-80395",NA,"Setophaga","2013-06-13","0:30:00","2014-06-04",NA,"2013-06-13","2014-06-04","2012-07-01","AHY","Adult",NA,11.2,"Male ","striata","harness",44.528354,-72.8165699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","Yes ",120,NA,-4.01048079570135,"Both","Yes","Yes",93.0652857682246,92.25,0.125,1000,20,3,1,0.9,250,14,FALSE,"No","Eastern",TRUE,TRUE,-72.815699,44.528354,"2013-10-18","2014-05-06",2014,2014-03-20,"No","2013-07-01","2013-08-20","2014-05-30","2014-06-05",0,"2013-09-13","2014-05-26","2016-10-23",NA,"2016-09-02",NA,NA,"2013-10-13","2013-10-15","2013-10-17","2013-10-18","good","Eastern Region","Nonbreeding",139890.393401847,1056826.6419632,"2013-09-13 10:14:58.600364","2014-05-26 00:41:31.733979",2,0,"2014-03-07 10:51:09.405404","2014-03-08 22:58:02.638018",-70.4817521116451,10.735381063068,-70.1486877549727,4.49583202234103,"equinox affected","winter.nbr.movements"
"4","A",268332.88667134,"2014-04-09 23:00:28.933797","2014-05-06 22:56:06.120861",-70.2205266362249,-70.6003530288832,-69.8119334681167,6.905247345861,5.85696744991406,8.48108437059785,11,26.9969581836048,"Non-breeding period","","2110-80395",NA,"Setophaga","2013-06-13","0:30:00","2014-06-04",NA,"2013-06-13","2014-06-04","2012-07-01","AHY","Adult",NA,11.2,"Male ","striata","harness",44.528354,-72.8165699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","Yes ",120,NA,-4.01048079570135,"Both","Yes","Yes",93.0652857682246,92.25,0.125,1000,20,3,1,0.9,250,14,FALSE,"No","Eastern",TRUE,TRUE,-72.815699,44.528354,"2013-10-18","2014-05-06",2014,2014-03-20,"No","2013-07-01","2013-08-20","2014-05-30","2014-06-05",0,"2013-09-13","2014-05-26","2016-10-23",NA,"2016-09-02",NA,NA,"2013-10-13","2013-10-15","2013-10-17","2013-10-18","good","Eastern Region","Nonbreeding",87129.8255900893,292115.359392533,"2013-09-13 10:14:58.600364","2014-05-26 00:41:31.733979",3,0,"2014-04-08 10:23:21.701183","2014-04-09 23:00:28.933797",-70.1486877549727,4.49583202234103,-70.2205266362249,6.905247345861,"equinox free","winter.nbr.movements"
"5","V7638_005",442537.885114026,"2019-03-22 22:40:41","2019-04-20 22:29:14.428571",-65.1926846165823,-66.7001810081069,-63.7694118543784,7.03357960217441,0.0837934272447576,10.1100515243428,11,28.9920535714234,"Non-breeding period","","1760-53518",NA,"Setophaga","2018-06-14","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72635,-149.41446,63.72527,-149.41557,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.699467413705,92,0.16,1000,20,3,1,0.63,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,"2018-11-10","2019-04-20",2019,2019-03-19,"Yes","2018-07-25","2018-08-20",NA,NA,4,"2018-08-22","2019-05-22","","","","",NA,"","","","","","Northwestern Region","Nonbreeding",323796.011478091,1116117.94593089,"2018-08-22 14:22:50","2019-06-10 08:40:18",2,0,"2019-03-21 10:41:29.068965","2019-03-22 22:40:41",-65.5590418470371,3.07497278994247,-65.1926846165823,7.03357960217441,"equinox affected","winter.nbr.movements"
"6","V7638_010",493845.980651955,"2019-02-27 22:37:16.268562","2019-04-27 22:30:44.473552",-62.8246643289176,-64.0310818592305,-61.5595568849209,3.57598233609952,-3.08992554329577,9.31295851939436,10,58.9954653355341,"Non-breeding period","","2850-21906",NA,"Setophaga","2018-07-03","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.717,-149.40282,63.72733,-149.41238,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"South and partial North","Yes","No",91.5976866669376,93.5,0.13,1000,20,3,1,0.83,250,14,TRUE,"No","Western",FALSE,TRUE,-149.416795,63.722625,"2018-10-26","2019-04-27",2019,2019-03-19,"No","2018-07-25","2018-08-24",NA,NA,4,"2018-08-26",NA,"","","","",NA,"","","","","","Northwestern Region","Nonbreeding",274593.13228549,1380682.73822667,"2018-08-26 13:47:50.492703",NA,2,0,"2019-02-26 10:10:28.504876","2019-02-27 22:37:16.268562",-62.9867763742847,8.00934500520171,-62.8246643289176,3.57598233609952,"equinox free","winter.nbr.movements"
"7","V7638_011",1379775.69329984,"2018-10-28 10:08:00","2019-04-26 09:47:36",-59.3257352229704,-59.7606207246552,-58.9248304149491,-1.67260137069028,-2.79333658337836,-0.0476393178033553,10,179.985833333333,"Non-breeding period","","1760-53590",NA,"Setophaga","2018-07-12","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72384,-149.41913,63.72527,-149.41557,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",91.3570250233738,92.75,0.08,1000,20,3,1,0.86,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,"2018-10-11","2019-04-26",2019,2019-03-19,"Yes","2018-07-25","2018-08-25",NA,NA,3.5,"2018-08-22","2019-05-22","","","","",NA,"","","","","","Northwestern Region","Nonbreeding",93000.1097342884,305649.621476293,"2018-08-21 13:51:22.5","2019-05-21 07:06:00",2,0,"2018-10-26 22:20:40","2018-10-28 10:08:00",-68.0341722824502,7.16585303591035,-59.3257352229704,-1.67260137069028,"equinox free","fall.nbr.movement"
"8","V8296_004",1594352.47984759,"2020-02-18 22:59:34","2020-04-18 10:45:16",-75.6951502616603,-75.8146020524073,-75.5626081045247,-6.85425115117476,-7.51224642956335,-6.1318495552467,10,59.4900694444444,"Non-breeding period","","2920-25333",NA,"Setophaga","2019-07-10","7:00","?",NA,"2019-07-10","","","SY","Adult",71,12,"Male","striata","harness",47.38248,-71.08315,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","No ",120,NA,59.21956088,"Both","Yes","Yes",92.847678177219,93.75,0.09,1000,20,3,1,0.86,250,14,FALSE,"","Eastern",FALSE,FALSE,-71.08716,47.38339,"2019-10-13","2020-04-18",2020,2020-03-19,"No","2019-07-17","2019-09-10",NA,NA,0,"2019-09-10","2020-05-27","","","","",NA,"","","","","","Eastern Region","Nonbreeding",27851.3497777146,153665.077141556,"2019-09-23 22:37:16","2020-05-26 00:50:16",2,0,"2020-02-15 22:58:16","2020-02-18 22:59:34",-67.8489299143313,5.13759411409583,-75.6951502616603,-6.85425115117476,"equinox free","winter.nbr.movements"
"9","V8296_005",942761.959620607,"2020-03-15 23:10:54","2020-04-01 10:34:02",-72.1693407618953,-72.4098253886535,-71.920223718467,10.3386633405334,6.27136711958941,11.9920329120386,7,16.4743981481481,"Non-breeding period","","2920-25307",NA,"Setophaga","2019-06-18","6:45","?",NA,"2019-06-18","","","SY","Adult",72,11.4,"Male","striata","harness",47.38323,-71.09479,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","Yes ",120,NA,55.95313996,"Both","Yes","Yes",93.3385275687174,93,0.085,1000,20,3,1,0.8,250,14,FALSE,"Yes","Eastern",FALSE,FALSE,-71.08716,47.38339,"2019-10-11","2020-04-01",2020,2020-03-19,"No","2019-07-01","2019-08-20",NA,NA,0,"2019-09-09","2020-05-27","","","","",NA,"2019-09-28","2019-10-01","2019-10-08","2019-10-09","good","Eastern Region","Nonbreeding",53617.3141003055,636821.603013944,"2019-09-08 23:30:02","2020-05-27 08:51:32",2,0,"2020-03-14 10:52:02","2020-03-15 23:10:54",-71.3642595926918,1.90753357090138,-72.1693407618953,10.3386633405334,"equinox affected","winter.nbr.movements"
"10","V8296_006",279202.229962323,"2020-04-02 22:59:36","2020-05-04 23:00:12",-69.7451507906526,-70.1433953249876,-69.36114287539,10.2724892781146,8.74920778009668,11.3808289814268,10,32.0004166666667,"Non-breeding period","","2920-25329",NA,"Setophaga","2019-07-09","8:20","?",NA,"2019-07-09","","","AHY","Adult",73,13.1,"Male","striata","harness",47.38599,-71.08172,NA,NA,"","","","Quebec","Breeding","","","Lotek","?","ML-6740","","","Unpublished","No",120,NA,NA,"Both","Yes","Yes",92.4063978938388,93,0.1,1000,20,3,1,0.92,250,14,FALSE,"Yes ","Eastern",FALSE,FALSE,-71.08716,47.38339,"2019-10-13","2020-05-04",2020,2020-03-19,"No","2019-07-17","2019-09-10",NA,NA,0,"2019-09-21","2020-05-28","","","","",NA,"","","","","","Eastern Region","Nonbreeding",85684.0993394877,292950.732092849,"2019-09-27 10:35:12","2020-05-28 00:40:57",3,0,"2020-04-01 10:29:57","2020-04-02 22:59:36",-70.13268748084,7.79374171919405,-69.7451507906526,10.2724892781146,"equinox affected","winter.nbr.movements"
