"","cluster","next.cluster","weight","weight.n","edge.type"
"1",3,9,0.0303478094824624,1,"fall"
"2",3,14,0.0303478094824624,1,"fall"
"3",5,3,0.0606956189649248,2,"fall"
"4",5,7,0.0910434284473871,3,"fall"
"5",5,14,0.212434666377237,7,"fall"
"6",7,10,0.0303478094824624,1,"fall"
"7",7,14,0.0910434284473871,3,"fall"
"8",7,15,0.0303478094824624,1,"fall"
"9",7,17,0.0303478094824624,1,"fall"
"10",9,21,0.0606956189649248,2,"spring"
"11",9,25,0.0303478094824624,1,"spring"
"12",9,26,0.0910434284473871,3,"spring"
"13",10,13,0.0303478094824624,1,"fall"
"14",13,9,0.0303478094824624,1,"fall"
"15",13,15,0.0303478094824624,1,"fall"
"16",13,21,0.0303478094824624,1,"spring"
"17",13,22,0.0303478094824624,1,"spring"
"18",13,25,0.0303478094824624,1,"spring"
"19",13,26,0.0910434284473871,3,"spring"
"20",14,9,0.0606956189649248,2,"fall"
"21",14,13,0.182086856894774,6,"fall"
"22",14,15,0.12139123792985,4,"fall"
"23",14,17,0.0303478094824624,1,"fall"
"24",15,22,0.0303478094824624,1,"spring"
"25",15,26,0.151739047412312,5,"spring"
"26",17,9,0.0606956189649248,2,"fall"
"27",17,13,0.0303478094824624,1,"fall"
"28",21,5,0.0303478094824624,1,"fall"
"29",21,7,0.0303478094824624,1,"fall"
"30",21,14,0.0303478094824624,1,"fall"
"31",22,7,0.0606956189649248,2,"fall"
"32",25,5,0.0303478094824624,1,"fall"
"33",25,17,0.0303478094824624,1,"fall"
"34",26,5,0.303478094824624,10,"fall"
"35",26,14,0.0303478094824624,1,"fall"
