"","cluster","next.cluster","weight","weight.n","edge.type"
"1",1,2,0.0069513805664365,1,"fall"
"2",1,3,0.013902761132873,2,"fall"
"3",1,4,0.0069513805664365,1,"fall"
"4",2,3,0.0903808407340999,3,"fall"
"5",2,5,0.013902761132873,2,"fall"
"6",2,6,0.0625688717831412,4,"fall"
"7",3,5,0.0417147300838317,1,"fall"
"8",3,6,0.0625688717831412,4,"fall"
"9",3,9,0.054110660952046,3,"fall"
"10",3,10,0.00544455030177777,1,"fall"
"11",3,12,0.0486661106502682,2,"fall"
"12",3,13,0.0556174912167047,3,"fall"
"13",3,14,0.013902761132873,2,"fall"
"14",3,15,0.0888740104694411,3,"fall"
"15",3,16,0.0108891006035555,2,"fall"
"16",4,2,0.0069513805664365,1,"fall"
"17",4,3,0.0108891006035555,2,"fall"
"18",4,5,0.0069513805664365,1,"fall"
"19",4,6,0.00544455030177777,1,"fall"
"20",5,3,0.0556174912167047,3,"fall"
"21",5,12,0.0417147300838317,1,"fall"
"22",5,13,0.0069513805664365,1,"fall"
"23",5,14,0.0069513805664365,1,"fall"
"24",5,16,0.0417147300838317,1,"fall"
"25",5,17,0.00544455030177777,1,"fall"
"26",6,3,0.0734579723866967,6,"fall"
"27",6,5,0.0417147300838317,1,"fall"
"28",6,9,0.0069513805664365,1,"fall"
"29",6,12,0.0069513805664365,1,"fall"
"30",6,13,0.0417147300838317,1,"fall"
"31",6,16,0.017840481169992,3,"fall"
"32",8,3,0.0069513805664365,1,"fall"
"33",8,5,0.00544455030177777,1,"fall"
"34",8,6,0.00544455030177777,1,"fall"
"35",9,10,0.0123959308682143,2,"fall"
"36",9,12,0.0486661106502682,2,"fall"
"37",10,11,0.0069513805664365,1,"fall"
"38",10,12,0.017840481169992,3,"fall"
"39",10,20,0.0069513805664365,1,"spring"
"40",10,27,0.0163336509053333,3,"spring"
"41",11,18,0.00544455030177777,1,"spring"
"42",11,23,0.0069513805664365,1,"spring"
"43",12,10,0.00544455030177777,1,"fall"
"44",12,11,0.00544455030177777,1,"fall"
"45",12,18,0.00544455030177777,1,"spring"
"46",12,19,0.125144190251495,3,"spring"
"47",12,20,0.027805522265746,4,"spring"
"48",12,23,0.027805522265746,4,"spring"
"49",12,24,0.0417147300838317,1,"spring"
"50",12,27,0.0108891006035555,2,"spring"
"51",13,10,0.0193473114346508,3,"fall"
"52",13,12,0.027805522265746,4,"fall"
"53",13,18,0.00544455030177777,1,"spring"
"54",13,19,0.0834294601676634,2,"spring"
"55",13,20,0.0069513805664365,1,"spring"
"56",14,13,0.0208541416993095,3,"fall"
"57",15,12,0.0108891006035555,2,"fall"
"58",15,13,0.00544455030177777,1,"fall"
"59",15,19,0.0834294601676634,2,"spring"
"60",16,12,0.0471592803856095,2,"fall"
"61",16,13,0.0123959308682143,2,"fall"
"62",16,15,0.0108891006035555,2,"fall"
"63",17,10,0.00544455030177777,1,"fall"
"64",18,6,0.00544455030177777,1,"fall"
"65",18,8,0.0108891006035555,2,"fall"
"66",19,2,0.125144190251495,3,"fall"
"67",19,3,0.125144190251495,3,"fall"
"68",19,5,0.0417147300838317,1,"fall"
"69",20,1,0.013902761132873,2,"fall"
"70",20,2,0.013902761132873,2,"fall"
"71",20,5,0.0069513805664365,1,"fall"
"72",20,8,0.0069513805664365,1,"fall"
"73",23,1,0.013902761132873,2,"fall"
"74",23,2,0.013902761132873,2,"fall"
"75",23,4,0.0069513805664365,1,"fall"
"76",24,6,0.0417147300838317,1,"fall"
"77",27,3,0.00544455030177777,1,"fall"
"78",27,4,0.0163336509053333,3,"fall"
"79",27,6,0.00544455030177777,1,"fall"
