"","geo_id","cluster","next.cluster","StartTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","EndTime","sitenum","duration","period","study.site","Range_region","NB_count","site_type","ab.unit","br.region.prop.total.population","br.polygon"
"1","A",21,7,"2013-06-14 00:47:02",-72.815699,-72.8165699,-72.8165699,44.528354,44.528354,44.528354,"2013-08-12 00:18:07",1,58.9799189814815,"Post-breeding migration","Mount Mansfield, Vermont, USA","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"2","A",7,14,"2013-09-30 09:44:37",-61.9764028225943,-62.3028677045732,-61.5874856238586,45.5213812548052,45.1161284534932,45.7884895397455,"2013-10-10 09:57:17",7,10.0087962962963,"Post-breeding migration","Mount Mansfield, Vermont, USA","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"3","A",14,9,"2013-10-15 04:00:00",-70.1429141332903,-70.9705921903288,-69.0538270142082,18.9,NA,NA,"2013-10-17 04:00:00",8,2,"Post-breeding migration","Mount Mansfield, Vermont, USA","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"4","A",9,21,"2013-10-18 04:00:00",-69.9546005165811,-70.0649903930901,-69.8558777552,10.4697494876536,10.0082552477446,10.827820666948,"2014-03-07 10:47:30",9,140.282986111111,"Non-breeding period","Mount Mansfield, Vermont, USA","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"5","B",21,14,"2013-06-19 00:58:00",-72.815699,-72.815699,-72.815699,44.528354,44.528354,44.528354,"2013-08-17 00:05:52",1,58.9637962962963,"Post-breeding migration","Mount Mansfield, Vermont, USA","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"6","B",14,13,"2013-10-03 04:00:00",-71.7074056091352,-73.1409577865696,-69.1901331732733,18.9,NA,NA,"2013-10-23 04:00:00",6,20,"Post-breeding migration","Mount Mansfield, Vermont, USA","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"7","B",13,21,"2013-10-24 04:00:00",-71.4805999691094,-71.6477989004701,-71.3066995652874,7.1266375343714,6.33545135354175,7.84994962689871,"2014-04-19 10:26:30",7,177.268402777778,"Non-breeding period","Mount Mansfield, Vermont, USA","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"8","C",25,17,"2013-06-10 00:26:08",-65.8820445,-65.7499,-65.7499,43.4367935,43.464762,43.464762,"2013-08-06 00:11:08",1,56.9895833333333,"Post-breeding migration","Nova Scotia, Canada","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"9","C",17,13,"2013-09-27 04:00:00",-66.4943789857244,-67.8977664879847,-64.0409212309112,18.36,NA,NA,"2013-10-06 04:00:00",4,9,"Post-breeding migration","Nova Scotia, Canada","Eastern",NA,"Stopover",0.0303478094824624,0.546260570684323,"Eastern Region"
"10","C",13,25,"2013-10-07 04:00:00",-68.3270516628501,-68.3312273328922,-68.3251095674784,6.24945053480647,6.24796718694397,6.25580434782052,"2014-03-02 10:24:45",5,146.2671875,"Non-breeding period","Nova Scotia, Canada","Eastern",1,"Nonbreeding",0.0303478094824624,0.546260570684323,"Eastern Region"
"11","D",25,5,"2013-08-25 23:22:45",-65.8820445,-66.014189,-66.014189,43.4367935,43.408825,43.408825,"2013-09-20 10:00:27",1,25.4428472222222,"Post-breeding migration","Nova Scotia, Canada","Eastern",NA,"Breeding",0.0303478094824624,0.546260570684323,"Eastern Region"
