cluster,geo_id,StartTime,EndTime,Lon.50.,Lon.2.5.,Lon.97.5.,Lat.50.,Lat.2.5.,Lat.97.5.,sitenum,duration,period,geo.id2,band.id,animal.id,animal.taxon,deploy.on.date,deploy.on.time_GMT,deploy.off.date,deploy.off.time,lig.estimated.deploy.day,lig.estimated.recovery.day,animal.latest.date.born,animal.life.stage,Age.status,Wing.cord.mm,animal.mass,animal.sex,animal.taxon.detail,attachment.type,deploy.latitude,deploy.longitude,recovery.latitude,recovery.longitude,deployment.comments,deployment.end.type,manipulation.type,study.site,deploy.range,tag.comments,study.site.specification,tag.manufacturer.name,tag.mass,tag.model,tag.readout.method,tag.serial.no,Study,preliminary_analysis,recording_interval_seconds,light_threshold,Time_shift_hours,Recorded_North_South_mig,Light_Data_Available,Time_shift,In_habitat_median_zenith_angle,Hill_Ekstrom_median_angle,tol,MCMC.iter,MCMC.thin,MCMC.chains,changeLight.days,changelight.quantile,mergesites.distance,stat.nbr.limit,path.elongated,Insert_twilights,Range_region,Fall_carrib_edits,Clock_drift_edits,mod.deploy.lon,mod.deploy.lat,nbr.arrival,nbr.departure,spring.equinox.year,spring.equinox.date,Recaptured,IH.calib.start,IH.calib.end,IH.calib.start2,IH.calib.end2,Zenith0_adjustment,br.departure,br.arrival,br.departure.woodsworth,br.arrival.woodsworth,nbr.arrival.woodsworth,nbr.departure.woodsworth,X,First.trans.flight.start,first.trans.flight.start,First.trans.flight.start.1,first.trans.flight.start.1,light.review.quality,Breeding_region_MC,site_type,IQR.lon.dist,IQR.lat.dist,fall.br.departure,spring.br.arrival,NB_count,year.difference,NB.first.site.arrival,id,sorted.num,next.cluster
16,3254_001,2016-07-28T07:45:23Z,2016-08-18T13:37:31Z,-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,1,21.244537037037038,Breeding,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-18T13:37:31Z,NA,NA,0,NA,NA,16,1
1,3254_001,2016-08-26T13:25:34Z,2016-09-02T13:34:07Z,-142.46458509439796,-148.7661366158627,-136.02084960277676,62.29176413626205,60.77747794449017,64.69211765279914,2,7.0059375,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,658631.212048323,435775.6989680828,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,1,1,3
3,3254_001,2016-09-13T11:37:01Z,2016-09-16T11:47:42Z,-96.98120821114426,-105.65262855562574,-87.22290190774072,56.39153952670009,45.7047552082,64.12522586167748,3,3.0074189814814813,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,1132180.305170485,2050557.413317553,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,1,3,7
7,3254_001,2016-09-21T23:42:32Z,2016-10-13T10:59:17Z,-77.90941527699236,-79.68423984213707,-75.49662871358412,38.441683987102394,34.03465972469736,48.671013430772135,4,21.46997354497788,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,365086.51145502843,1629311.4416304862,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,1,7,11
11,3254_001,2016-10-14T22:27:52Z,2016-10-22T10:09:40Z,-68.94959532465641,-71.04623794413214,-65.18226397268235,9.633419158393398,3.7622035847073607,11.408371575710069,5,7.4873611111111105,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,643561.685369099,851167.527278249,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,1,11,12
12,3254_001,2016-10-23T22:19:25Z,2016-10-27T09:45:57Z,-64.41040884942922,-67.58829151354918,-61.422036256743645,6.048653826972366,-1.3265542388983027,10.138453593748382,6,3.476759259259259,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,682599.2539146433,1276278.8338711222,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,1,12,NA
12,3254_001,2016-10-28T21:58:42Z,2017-04-11T09:46:58Z,-57.244666503842204,-57.870052654462484,-56.419751517627184,5.815659566304401,4.961566202456717,6.4251740587843,7,164.49185185185183,Non-breeding period,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Nonbreeding,160615.78179806186,162928.0812874213,2016-08-18T13:37:31Z,NA,1,0,2016-10-28T21:58:42Z,1,12,16
16,3254_001,NA,NA,-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,7,NA,Post-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-18T13:37:31Z,NA,NA,0,NA,NA,16,NA
16,3254_003,2016-07-10T08:19:34Z,2016-07-11T09:51:34Z,-163.71321,-163.71794,-163.71794,64.82774,64.82774,64.82774,1,1.0638888888888889,Breeding,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-17T07:23:00Z,NA,NA,0,NA,NA,16,1
1,3254_003,2016-08-18T13:03:30Z,2016-08-20T13:32:30Z,-145.86288866581913,-147.33769942932508,-144.23813726974,67.03938837916292,66.58149325322272,67.4127573213222,3,2.020138888888889,Post-breeding migration,,2740-82914,NA,Setophaga,2016-06-14,15:48:00,2016-12-19,NA,2016-06-14,2016-12-19,,AHY,Adult,79,13.44,Male,striata,harness,64.82774,-163.71794,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,South,Yes,No,91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-23,NA,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-12T04:00:00Z,NA,NA,1,NA,NA,2016-08-15 0:00,NA,2016-10-27,NA,NA,,,,,,Northwestern Region,Stopover,134586.23316053438,92535.89277558027,2016-08-17T07:23:00Z,NA,NA,0,2016-10-23T22:12:30Z,1,1,2
