"","cluster","Northwestern Region","Western Region","Central Region","Eastern Region","tot.abundance","reg.no","single_reg","Lon.50.","Lat.50."
"1",1,0.0305860744923206,0,0,0,0.0305860744923206,"single reg","Northwestern.Region",-143.744689799494,64.0877347519524
"2",2,0.0229395558692405,0.0326673018106666,0,0,0.0556068576799071,"multi reg",NA,-124.443290176605,56.6969048518493
"3",3,0.0382325931154008,0.00544455030177777,0.125144190251495,0,0.168821333668674,"multi reg",NA,-93.2037228324046,54.5647425323268
"4",4,0.0382325931154008,0.0217782012071111,0.125144190251495,0,0.185154984574007,"multi reg",NA,-81.5480676640839,47.5305099807354
"5",5,0,0,0,0.172503338110839,0.172503338110839,"single reg","Eastern.Region",-63.9563273907675,44.77
"6",6,0.0305860744923206,0.00544455030177777,0.125144190251495,0.373757232573484,0.534932047619077,"multi reg",NA,-72.5452746123628,41.45
"7",7,0.0535256303615611,0.0272227515088889,0.292003110586822,0.0575011127036129,0.430252605160885,"multi reg",NA,-78.1185925247168,35.3
"8",8,0.00764651862308015,0.0163336509053333,0.0417147300838317,0,0.0656948996122451,"multi reg",NA,-80.5847614776921,26.6550376272242
"9",9,0.0152930372461603,0,0.0417147300838317,0.373757232573484,0.430764999903476,"multi reg",NA,-72.1746965310856,18.8991558711483
"10",10,0,0.00544455030177777,0,0.0862516690554194,0.0916962193571972,"multi reg",NA,-66.4943789857244,18.2258619128425
"11",11,0.0305860744923206,0.00544455030177777,0.0417147300838317,0,0.0777453548779301,"multi reg",NA,-70.8468209192127,10.2450436858243
"12",12,0.0382325931154008,0.0163336509053333,0.0417147300838317,0.0287505563518065,0.125031530456372,"multi reg",NA,-70.1332123481056,6.9779501037948
"13",13,0,0,0,0.0287505563518065,0.0287505563518065,"single reg","Eastern.Region",-61.9665718385305,5.20708707903352
"14",14,0.00764651862308015,0.0108891006035555,0,0,0.0185356192266357,"multi reg",NA,-66.8562332462878,3.75521344244538
"15",15,0,0.00544455030177777,0,0,0.00544455030177777,"single reg","Western.Region",-71.3657761063611,1.90668253133681
"16",17,0.0305860744923206,0,0,0,0.0305860744923206,"single reg","Northwestern.Region",-163.71321,64.82774
"17",18,0.0458791117384809,0,0,0,0.0458791117384809,"single reg","Northwestern.Region",-149.416795,63.722625
"18",19,0,0,0.0417147300838317,0,0.0417147300838317,"single reg","Central.Region",-114.420252,62.432741
"19",20,0,0.0272227515088889,0,0,0.0272227515088889,"single reg","Western.Region",-132.311396,60.066092
"20",21,0,0,0.292003110586822,0,0.292003110586822,"single reg","Central.Region",-93.8313,58.71955
"21",22,0,0.0163336509053333,0,0,0.0163336509053333,"single reg","Western.Region",-129.8574554,58.16343635
"22",23,0,0,0,0.0575011127036129,0.0575011127036129,"single reg","Eastern.Region",-56.225,49.45833
"23",24,0,0,0,0.345006676221678,0.345006676221678,"single reg","Eastern.Region",-71.08716,47.38339
"24",25,0,0,0,0.0862516690554194,0.0862516690554194,"single reg","Eastern.Region",-72.815699,44.528354
"25",26,0,0,0,0.0575011127036129,0.0575011127036129,"single reg","Eastern.Region",-65.8820445,43.4367935
