"","cluster","next.cluster","weight","weight.n","edge.type"
"1",1,2,0.0623924522441189,3,"spring"
"2",1,3,0.0538963204406965,2,"spring"
"3",1,10,0.0209408182074859,3,"spring"
"4",1,12,0.00849613180342239,1,"spring"
"5",2,3,0.112340218084174,4,"spring"
"6",2,10,0.0420200438987941,1,"spring"
"7",2,12,0.00622234320203174,1,"spring"
"8",2,17,0.0420200438987941,1,"spring"
"9",3,4,0.0941031908564178,7,"spring"
"10",3,7,0.196918252156691,5,"spring"
"11",3,12,0.0538963204406965,2,"spring"
"12",3,21,0.0420200438987941,1,"spring"
"13",4,6,0.0169922636068448,2,"spring"
"14",4,14,0.00622234320203174,1,"spring"
"15",4,16,0.0254883954102672,3,"spring"
"16",4,19,0.0169922636068448,2,"spring"
"17",4,20,0.0476739772386648,1,"spring"
"18",4,23,0.0186670296060952,3,"spring"
"19",5,2,0.0561701090420872,2,"spring"
"20",5,3,0.0646662408455096,3,"spring"
"21",5,4,0.00622234320203174,1,"spring"
"22",5,7,0.0232146068088765,3,"spring"
"23",5,10,0.0561701090420872,2,"spring"
"24",6,16,0.00849613180342239,1,"spring"
"25",6,19,0.00849613180342239,1,"spring"
"26",6,23,0.00622234320203174,1,"spring"
"27",7,4,0.0147184750054541,2,"spring"
"28",7,12,0.101570297679361,3,"spring"
"29",7,15,0.143021931715994,3,"spring"
"30",7,16,0.00849613180342239,1,"spring"
"31",8,9,0.0896940211374588,2,"spring"
"32",8,13,0.0476739772386648,1,"spring"
"33",9,2,0.0420200438987941,1,"spring"
"34",9,3,0.0896940211374588,2,"spring"
"35",9,10,0.0959163643394906,3,"spring"
"36",9,11,0.0840400877975881,2,"spring"
"37",9,13,0.0420200438987941,1,"spring"
"38",9,21,0.0840400877975881,2,"spring"
"39",10,3,0.06634100684476,4,"spring"
"40",10,4,0.0169922636068448,2,"spring"
"41",10,11,0.215754152833841,5,"spring"
"42",10,21,0.0420200438987941,1,"spring"
"43",11,7,0.0476739772386648,1,"spring"
"44",11,17,0.0840400877975881,2,"spring"
"45",11,18,0.0840400877975881,2,"spring"
"46",11,21,0.126060131696382,3,"spring"
"47",11,22,0.0420200438987941,1,"spring"
"48",12,6,0.00622234320203174,1,"spring"
"49",12,14,0.0124446864040635,2,"spring"
"50",12,15,0.143021931715994,3,"spring"
"51",12,16,0.00849613180342239,1,"spring"
"52",13,2,0.0420200438987941,1,"spring"
"53",13,9,0.173734108935047,4,"spring"
"54",13,10,0.126060131696382,3,"spring"
"55",13,11,0.0840400877975881,2,"spring"
"56",14,1,0.0124446864040635,2,"fall"
"57",14,9,0.00622234320203174,1,"fall"
"58",15,1,0.0476739772386648,1,"fall"
"59",15,5,0.143021931715994,3,"fall"
"60",15,8,0.0953479544773296,2,"fall"
"61",16,1,0.0169922636068448,2,"fall"
"62",16,5,0.0339845272136896,4,"fall"
"63",17,9,0.0420200438987941,1,"fall"
"64",17,13,0.0840400877975881,2,"fall"
"65",18,13,0.0840400877975881,2,"fall"
"66",19,1,0.00849613180342239,1,"fall"
"67",19,5,0.0169922636068448,2,"fall"
"68",20,1,0.0476739772386648,1,"fall"
"69",21,8,0.0420200438987941,1,"fall"
"70",21,9,0.0840400877975881,2,"fall"
"71",21,13,0.168080175595176,4,"fall"
"72",22,9,0.0420200438987941,1,"fall"
"73",23,1,0.0124446864040635,2,"fall"
"74",23,5,0.0124446864040635,2,"fall"
