"","vertex","Lon.50.","Lat.50.","node.type.num","node.type","prop.ab.central","prop.ab.eastern","prop.ab.northwestern","prop.ab.western","n.central","n.eastern","n.northwestern","n.western","r.abundance.at.cluster","n.individuals.at.cluster","shape_single","shape_single_breeding","shape_multiple","shape_colour_single","shape_colour_single_breeding","use.breeding.ab","use.nonbreeding.ab","use.stopover.ab"
"1",1,-57.7699876948883,0.425841632977309,3,"Nonbreeding",0,0,0.0254883954102672,0.00622234320203174,0,0,3,1,0.0317107386122989,4,"none","none","pie",NA,NA,0,0.0317107386122989,0
"2",2,-63.3741121313668,2.56855419526108,3,"Nonbreeding",0.0953479544773296,0,0.0509767908205343,0.0186670296060952,2,0,6,3,0.164991774903959,11,"none","none","pie",NA,NA,0,0.147999511297114,0.0169922636068448
"3",3,-74.4177294513656,20.2714275708164,2,"Stopover",0.0476739772386648,0.0910434284473871,0.00849613180342239,0.00622234320203174,1,2,1,1,0.153435880691506,5,"none","none","pie",NA,NA,0,0,0.153435880691506
"4",4,-90.3192980911637,34.8150850858306,2,"Stopover",0.0476739772386648,0,0.0509767908205343,0.0186670296060952,1,0,6,3,0.117317797665294,10,"none","none","pie",NA,NA,0,0,0.117317797665294
"5",5,-91.5783142949778,38.504566489221,2,"Stopover",0.143021931715994,0,0.0254883954102672,0.024889372808127,3,0,3,4,0.193399699934388,10,"none","none","pie",NA,NA,0,0,0.193399699934388
"6",6,-76.7012395066141,25.1589384596506,2,"Stopover",0.0476739772386648,0.0455217142236936,0.0169922636068448,0.00622234320203174,1,1,2,1,0.116410298271235,5,"none","none","pie",NA,NA,0,0,0.116410298271235
"7",7,-84.0188951170555,33.037334284654,2,"Stopover",0.286043863431989,0.0455217142236936,0.0169922636068448,0.024889372808127,6,1,2,4,0.373447214070654,13,"none","none","pie",NA,NA,0,0,0.373447214070654
"8",8,-121.110093209574,57.6019310346793,2,"Stopover",0,0,0.0169922636068448,0.00622234320203174,0,0,2,1,0.0232146068088765,3,"none","none","pie",NA,NA,0,0,0.0232146068088765
"9",9,-85.9505636711063,37.863399047681,2,"Stopover",0.190695908954659,0,0.0169922636068448,0.0124446864040635,4,0,2,2,0.220132858965567,8,"none","none","pie",NA,NA,0,0,0.220132858965567
"10",10,-72.87317095933,0.608838019990415,3,"Nonbreeding",0.0953479544773296,0.0455217142236936,0,0,2,1,0,0,0.140869668701023,3,"none","none","pie",NA,NA,0,0.140869668701023,0
"11",11,-69.9566478840923,10.6407980587502,3,"Nonbreeding",0.0953479544773296,0.318651999565855,0,0.00622234320203174,2,7,0,1,0.420222297245216,10,"none","none","pie",NA,NA,0,0.0972657716494189,0.322956525595797
"12",12,-81.2655558645969,28.7373789967322,2,"Stopover",0.0953479544773296,0.182086856894774,0.00849613180342239,0.0186670296060952,2,4,1,3,0.304597972781621,10,"none","none","pie",NA,NA,0,0,0.304597972781621
"13",13,-77.8040896258111,37.6311462430266,2,"Stopover",0.0476739772386648,0.318651999565855,0,0,1,7,0,0,0.36632597680452,8,"none","none","pie",NA,NA,0,0,0.36632597680452
"14",14,-65.5300836026925,6.7293076336244,3,"Nonbreeding",0.143021931715994,0.0455217142236936,0.0169922636068448,0.0124446864040635,3,1,2,2,0.217980595950596,8,"none","none","pie",NA,NA,0,0.217980595950596,0
"15",15,-95.6312921731565,43.3342949711403,2,"Stopover",0.0953479544773296,0,0.00849613180342239,0,2,0,1,0,0.103844086280752,3,"none","none","pie",NA,NA,0,0,0.103844086280752
"16",16,-70.8578604637067,7.37296711960002,3,"Nonbreeding",0.0476739772386648,0.364173713789548,0,0,1,8,0,0,0.411847691028213,9,"none","none","pie",NA,NA,0,0.318651999565855,0.0931956914623583
"17",17,-129.8574554,58.16343635,1,"Breeding",0,0,0,0.0186670296060952,0,0,0,3,0.0186670296060952,3,"none","square","none",NA,"#D55E00",0.0186670296060952,0,0
"18",18,-93.8313,58.71955,1,"Breeding",0.286043863431989,0,0,0,6,0,0,0,0.286043863431989,6,"none","square","none",NA,"#0072B2",0.286043863431989,0,0
"19",19,-149.416795,63.722625,1,"Breeding",0,0,0.0509767908205343,0,0,0,6,0,0.0509767908205343,6,"none","square","none",NA,"#F0E442",0.0509767908205343,0,0
"20",20,-72.815699,44.528354,1,"Breeding",0,0.136565142671081,0,0,0,3,0,0,0.136565142671081,3,"none","square","none",NA,"#009E73",0.136565142671081,0,0
"21",21,-56.225,49.45833,1,"Breeding",0,0.0910434284473871,0,0,0,2,0,0,0.0910434284473871,2,"none","square","none",NA,"#009E73",0.0910434284473871,0,0
"22",22,-163.71321,64.82774,1,"Breeding",0,0,0.0254883954102672,0,0,0,3,0,0.0254883954102672,3,"none","square","none",NA,"#F0E442",0.0254883954102672,0,0
"23",23,-114.420252,62.432741,1,"Breeding",0.0476739772386648,0,0,0,1,0,0,0,0.0476739772386648,1,"none","square","none",NA,"#0072B2",0.0476739772386648,0,0
"24",24,-71.08716,47.38339,1,"Breeding",0,0.318651999565855,0,0,0,7,0,0,0.318651999565855,7,"none","square","none",NA,"#009E73",0.318651999565855,0,0
"25",25,-132.311396,60.066092,1,"Breeding",0,0,0,0.024889372808127,0,0,0,4,0.024889372808127,4,"none","square","none",NA,"#D55E00",0.024889372808127,0,0
