"","cluster","Northwestern Region","Western Region","Central Region","Eastern Region","tot.abundance","reg.no","single_reg","Lon.50.","Lat.50."
"1",1,0.0169913764767376,0.00620778958027666,0,0,0.0231991660570143,"multi reg",NA,-121.110093209574,57.6019310346793
"2",2,0.0084956882383688,0,0.0955646404366937,0,0.104060328675063,"multi reg",NA,-95.6312921731565,43.3342949711403
"3",3,0.0254870647151064,0.0248311583211067,0.143346960655041,0,0.193665183691254,"multi reg",NA,-91.5783142949778,38.504566489221
"4",4,0.0169913764767376,0.0124155791605533,0.191129280873387,0,0.220536236510678,"multi reg",NA,-85.9505636711063,37.863399047681
"5",5,0,0,0.0477823202183469,0.335758792162656,0.383541112381003,"multi reg",NA,-77.8357544805077,37.1692170050566
"6",6,0.0509741294302128,0.01862336874083,0.0477823202183469,0,0.11737981838939,"multi reg",NA,-90.3192980911637,34.8150850858306
"7",7,0.0169913764767376,0.0248311583211067,0.286693921310081,0.041969849020332,0.370486305128257,"multi reg",NA,-84.0188951170555,33.037334284654
"8",8,0.0084956882383688,0.01862336874083,0.0955646404366937,0.20984924510166,0.332532942517553,"multi reg",NA,-81.2561666048989,28.6659105557764
"9",9,0.0254870647151064,0.00620778958027666,0.0955646404366937,0.083939698040664,0.211199192772741,"multi reg",NA,-75.7255825258258,21.4919248517545
"10",10,0,0,0.0955646404366937,0.20984924510166,0.305413885538354,"multi reg",NA,-69.9566478840923,10.4866519279742
"11",11,0,0,0.0477823202183469,0.083939698040664,0.131722018259011,"multi reg",NA,-70.5341785286955,7.33333756687788
"12",12,0.0169913764767376,0,0,0,0.0169913764767376,"single reg","Northwestern.Region",-63.6407698256311,3.47664743488934
"13",15,0.0254870647151064,0,0,0,0.0254870647151064,"single reg","Northwestern.Region",-163.71321,64.82774
"14",16,0.0509741294302128,0,0,0,0.0509741294302128,"single reg","Northwestern.Region",-149.416795,63.722625
"15",17,0,0,0.0477823202183469,0,0.0477823202183469,"single reg","Central.Region",-114.420252,62.432741
"16",18,0,0.0248311583211067,0,0,0.0248311583211067,"single reg","Western.Region",-132.311396,60.066092
"17",19,0,0,0.286693921310081,0,0.286693921310081,"single reg","Central.Region",-93.8313,58.71955
"18",20,0,0.01862336874083,0,0,0.01862336874083,"single reg","Western.Region",-129.8574554,58.16343635
"19",21,0,0,0,0.041969849020332,0.041969849020332,"single reg","Eastern.Region",-74.3681141261946,56.9870550284507
"20",22,0,0,0,0.083939698040664,0.083939698040664,"single reg","Eastern.Region",-56.225,49.45833
"21",23,0,0,0,0.293788943142324,0.293788943142324,"single reg","Eastern.Region",-71.08716,47.38339
"22",24,0,0,0,0.125909547060996,0.125909547060996,"single reg","Eastern.Region",-72.815699,44.528354
