"","cluster","next.cluster","weight","weight.n","edge.type"
"1",2,10,0.0420200438987941,1,"spring"
"2",2,17,0.0420200438987941,1,"spring"
"3",3,21,0.0420200438987941,1,"spring"
"4",8,9,0.0420200438987941,1,"spring"
"5",9,2,0.0420200438987941,1,"spring"
"6",9,3,0.0420200438987941,1,"spring"
"7",9,10,0.0420200438987941,1,"spring"
"8",9,12,0.0420200438987941,1,"spring"
"9",9,13,0.0840400877975881,2,"spring"
"10",9,21,0.0840400877975881,2,"spring"
"11",10,13,0.126060131696382,3,"spring"
"12",10,21,0.0840400877975881,2,"spring"
"13",12,2,0.0420200438987941,1,"spring"
"14",12,9,0.126060131696382,3,"spring"
"15",12,10,0.126060131696382,3,"spring"
"16",12,13,0.0840400877975881,2,"spring"
"17",13,17,0.0840400877975881,2,"spring"
"18",13,18,0.0840400877975881,2,"spring"
"19",13,21,0.0840400877975881,2,"spring"
"20",13,22,0.0420200438987941,1,"spring"
"21",17,9,0.0420200438987941,1,"spring"
"22",17,12,0.0840400877975881,2,"spring"
"23",18,12,0.0840400877975881,2,"spring"
"24",21,8,0.0420200438987941,1,"spring"
"25",21,9,0.0840400877975881,2,"spring"
"26",21,12,0.168080175595176,4,"spring"
"27",22,9,0.0420200438987941,1,"spring"
