"","cluster","next.cluster","weight","weight.n","edge.type"
"1",1,2,0.0708885840475413,4,"spring"
"2",1,3,0.00622234320203174,1,"spring"
"3",1,10,0.0601186636427283,3,"spring"
"4",2,3,0.112340218084174,4,"spring"
"5",2,4,0.00622234320203174,1,"spring"
"6",2,6,0.00849613180342239,1,"spring"
"7",3,4,0.0623924522441189,3,"spring"
"8",3,6,0.0856070590529954,6,"spring"
"9",3,11,0.149244274918026,4,"spring"
"10",4,7,0.0169922636068448,2,"spring"
"11",4,14,0.0186670296060952,3,"spring"
"12",4,15,0.143021931715994,3,"spring"
"13",4,16,0.00849613180342239,1,"spring"
"14",4,19,0.00849613180342239,1,"spring"
"15",4,20,0.0476739772386648,1,"spring"
"16",4,23,0.00622234320203174,1,"spring"
"17",5,2,0.0561701090420872,2,"spring"
"18",5,3,0.0646662408455096,3,"spring"
"19",5,4,0.00849613180342239,1,"spring"
"20",5,6,0.0147184750054541,2,"spring"
"21",5,10,0.0561701090420872,2,"spring"
"22",5,11,0.0147184750054541,2,"spring"
"23",6,4,0.0646662408455096,3,"spring"
"24",6,7,0.00849613180342239,1,"spring"
"25",6,16,0.0169922636068448,2,"spring"
"26",6,19,0.00849613180342239,1,"spring"
"27",6,23,0.0186670296060952,3,"spring"
"28",7,16,0.0169922636068448,2,"spring"
"29",7,19,0.00849613180342239,1,"spring"
"30",8,9,0.0476739772386648,1,"spring"
"31",8,12,0.0476739772386648,1,"spring"
"32",9,3,0.0476739772386648,1,"spring"
"33",9,10,0.0538963204406965,2,"spring"
"34",10,3,0.06634100684476,4,"spring"
"35",10,6,0.00849613180342239,1,"spring"
"36",10,11,0.0953479544773296,2,"spring"
"37",11,4,0.107792640881393,4,"spring"
"38",11,15,0.143021931715994,3,"spring"
"39",11,16,0.00849613180342239,1,"spring"
"40",12,9,0.0476739772386648,1,"spring"
"41",14,1,0.0124446864040635,2,"spring"
"42",14,9,0.00622234320203174,1,"spring"
"43",15,1,0.0476739772386648,1,"spring"
"44",15,5,0.143021931715994,3,"spring"
"45",15,8,0.0953479544773296,2,"spring"
"46",16,1,0.00849613180342239,1,"spring"
"47",16,5,0.0424806590171119,5,"spring"
"48",19,1,0.00849613180342239,1,"spring"
"49",19,5,0.0169922636068448,2,"spring"
"50",20,1,0.0476739772386648,1,"spring"
"51",23,1,0.0124446864040635,2,"spring"
"52",23,5,0.0124446864040635,2,"spring"
